,city,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,weather_description
0,East London,27.9116,-33.0153,52.74,76,0,6.91,clear sky
1,Ilulissat,-51.1,69.2167,33.82,69,3,2.3,clear sky
2,Husavik,-17.3389,66.0449,48.09,77,83,3.96,broken clouds
3,Plettenberg Bay,23.3716,-34.0527,62.74,42,1,4.09,clear sky
4,Hermanus,19.2345,-34.4187,63.68,42,44,8.5,scattered clouds
5,Bluff,168.3333,-46.6,52.81,76,78,13.0,broken clouds
6,Tautira,-149.15,-17.7333,78.66,76,30,18.41,light rain
7,New Norfolk,147.0587,-42.7826,42.71,82,36,1.01,light rain
8,Maragogi,-35.2225,-9.0122,73.18,91,48,7.76,light rain
9,Chokurdakh,147.9167,70.6333,53.1,30,0,14.56,clear sky
10,Puerto Colombia,-74.9547,10.9878,82.33,78,10,9.08,clear sky
11,Mataura,168.8643,-46.1927,52.48,86,47,2.62,scattered clouds
12,Vaini,-175.2,-21.2,74.17,64,2,17.63,clear sky
13,Lebu,-73.65,-37.6167,52.66,89,100,18.77,overcast clouds
14,Sehithwa,22.7167,-20.4667,45.9,89,0,6.42,clear sky
15,Clyde River,-68.5914,70.4692,39.43,75,0,10.36,clear sky
16,Aykhal,111.5,66.0,57.45,44,64,6.4,broken clouds
17,Mandan,-100.8896,46.8267,52.81,75,100,5.75,overcast clouds
18,Tuatapere,167.6833,-46.1333,52.57,70,14,7.9,few clouds
19,Shenzhen,114.0683,22.5455,87.85,90,100,7.85,overcast clouds
20,Klaksvik,-6.589,62.2266,47.32,80,89,10.29,overcast clouds
21,Zhigansk,123.3711,66.7697,66.9,56,47,13.76,scattered clouds
22,Port Macquarie,152.9167,-31.4333,65.89,44,15,9.78,few clouds
23,Grindavik,-22.4338,63.8424,50.47,93,75,16.11,broken clouds
24,Saskylakh,114.0833,71.9167,51.35,43,45,4.38,scattered clouds
25,San Martin,-68.4681,-33.081,48.7,52,23,4.43,few clouds
26,Kapaa,-159.319,22.0752,76.12,83,7,1.01,clear sky
27,Nikolayevka,47.2041,53.1257,59.65,74,10,17.27,clear sky
28,Kupang,123.5833,-10.1667,87.6,58,12,13.33,few clouds
29,Igrim,64.4162,63.1906,58.62,39,4,6.4,clear sky
30,Mar Del Plata,-57.5575,-38.0023,51.1,78,100,3.0,overcast clouds
31,Port Alfred,26.891,-33.5906,62.15,42,1,3.2,clear sky
32,Tuktoyaktuk,-133.0374,69.4541,32.83,78,18,11.21,few clouds
33,Margate,1.3862,51.3813,54.3,90,74,1.01,broken clouds
34,Hasaki,140.8333,35.7333,66.29,84,100,22.08,overcast clouds
35,Avarua,-159.775,-21.2078,80.65,78,75,11.5,broken clouds
36,Albany,-73.9662,42.6001,66.45,61,99,4.21,overcast clouds
37,Monmouth,-74.1663,40.3001,68.83,63,94,8.81,overcast clouds
38,Namibe,12.1522,-15.1961,73.27,41,22,8.08,few clouds
39,Saldanha,17.9442,-33.0117,67.24,39,9,15.59,clear sky
40,Atuona,-139.0333,-9.8,78.22,73,14,16.13,few clouds
41,Srednekolymsk,153.6833,67.45,49.3,40,53,13.96,broken clouds
42,Dunedin,170.5036,-45.8742,57.79,48,65,1.99,broken clouds
43,Mokhsogollokh,128.9203,61.4681,81.97,32,99,8.93,overcast clouds
44,Hobart,147.3294,-42.8794,43.05,79,75,18.41,light intensity shower rain
45,Nikolskoye,30.7861,59.7035,59.72,48,41,5.01,scattered clouds
46,Garowe,48.4845,8.4054,81.09,56,100,27.81,overcast clouds
47,Avera,-82.5271,33.194,72.55,78,32,6.62,scattered clouds
48,Namanga,36.7905,-2.5433,62.46,72,96,7.16,overcast clouds
49,Castro,-50.0119,-24.7911,56.25,95,61,1.72,broken clouds
50,Georgetown,100.3354,5.4112,84.13,74,40,3.44,scattered clouds
51,Yellowknife,-114.3525,62.456,59.0,44,92,5.7,overcast clouds
52,Tasiilaq,-37.6368,65.6145,35.76,67,100,4.0,overcast clouds
53,Hilo,-155.09,19.7297,79.29,86,0,3.44,clear sky
