city_id,city,country,date,latitude,longitude,max_temp,humidity,clouds,wind
0,Iqaluit,CA,2022-06-04 18:26:18,63.7506,-68.5145,47.93,61,20,3.44
1,Cape Town,ZA,2022-06-04 18:26:18,-33.9258,18.4232,62.11,85,20,13.8
2,Husavik,IS,2022-06-04 18:35:23,66.0449,-17.3389,45.09,64,4,4.5
3,Punta Arenas,CL,2022-06-04 18:26:19,-53.15,-70.9167,41.11,65,40,21.85
4,Ushuaia,AR,2022-06-04 18:35:24,-54.8,-68.3,38.82,65,20,2.3
5,Kapaa,US,2022-06-04 18:35:25,22.0752,-159.319,76.98,86,20,8.05
6,Thompson,CA,2022-06-04 18:26:21,55.7435,-97.8558,44.76,76,100,5.75
7,Butaritari,KI,2022-06-04 18:35:26,3.0707,172.7902,80.74,70,75,9.08
8,Rikitea,PF,2022-06-04 18:35:26,-23.1203,-134.9692,75.67,74,100,9.69
9,Comodoro Rivadavia,AR,2022-06-04 18:26:22,-45.8667,-67.5,53.46,35,0,11.5
10,Arani,IN,2022-06-04 18:26:22,12.6667,79.2833,86.14,54,78,4.36
11,East London,ZA,2022-06-04 18:24:42,-33.0153,27.9116,58.14,88,0,11.5
12,Muzhi,RU,2022-06-04 18:26:23,65.3667,64.6667,41.14,38,19,8.55
13,Bom Jesus Da Lapa,BR,2022-06-04 18:26:24,-13.255,-43.4181,91.89,21,56,12.86
14,Dikson,RU,2022-06-04 18:26:24,73.5069,80.5464,26.44,94,16,6.4
15,Lebu,CL,2022-06-04 18:26:12,-37.6167,-73.65,51.28,96,100,10.07
16,Atuona,PF,2022-06-04 18:26:25,-9.8,-139.0333,78.1,76,19,18.1
17,San Patricio,US,2022-06-04 18:26:26,28.017,-97.5169,92.16,43,26,7.02
18,Waddan,LY,2022-06-04 18:26:26,29.1614,16.139,87.71,20,0,9.37
19,Puerto Ayora,EC,2022-06-04 18:26:27,-0.7393,-90.3518,80.56,82,82,9.8
20,Saskylakh,RU,2022-06-04 18:26:28,71.9167,114.0833,32.77,94,100,10.31
21,Victoria,HK,2022-06-04 18:21:40,22.2855,114.1577,85.17,82,100,13.0
22,Yellowknife,CA,2022-06-04 18:24:12,62.456,-114.3525,70.32,30,20,10.36
23,Makakilo City,US,2022-06-04 18:26:29,21.3469,-158.0858,79.12,61,0,9.22
24,Yerbogachen,RU,2022-06-04 18:26:30,61.2767,108.0108,46.45,52,96,1.16
25,Christchurch,NZ,2022-06-04 18:22:42,-43.5333,172.6333,50.92,85,92,11.5
26,Moron,AR,2022-06-04 18:26:31,-34.6534,-58.6198,62.01,68,100,6.96
27,San Andres,CO,2022-06-04 18:24:21,12.5847,-81.7006,86.02,74,40,5.75
28,Saint George,US,2022-06-04 18:23:32,37.1041,-113.5841,91.44,13,0,8.05
29,Timmins,CA,2022-06-04 18:26:32,48.4669,-81.3331,49.82,81,100,6.91
30,Albany,US,2022-06-04 18:23:42,42.6001,-73.9662,78.64,44,17,13.35
31,Nikolskoye,RU,2022-06-04 18:24:49,59.7035,30.7861,57.78,95,83,4.88
32,Kuching,MY,2022-06-04 18:26:33,1.55,110.3333,77.22,94,40,1.14
33,Alta Floresta,BR,2022-06-04 18:26:33,-9.8756,-56.0861,96.62,30,40,9.22
34,Cravo Norte,CO,2022-06-04 18:26:34,6.3017,-70.2041,72.18,98,100,3.31
35,Margate,GB,2022-06-04 18:26:35,51.3813,1.3862,57.11,82,31,8.01
36,Bluff,NZ,2022-06-04 18:24:51,-46.6,168.3333,34.81,73,99,7.81
37,Hamilton,US,2022-06-04 18:26:33,39.1834,-84.5333,83.5,37,0,4.61
38,Savonlinna,FI,2022-06-04 18:26:36,61.8699,28.88,55.45,88,0,5.75
39,Gweta,BW,2022-06-04 18:26:37,-20.1833,25.2333,62.76,42,1,4.0
40,Kodiak,US,2022-06-04 18:26:37,57.79,-152.4072,72.91,23,0,11.5
41,Longyearbyen,SJ,2022-06-04 18:26:38,78.2186,15.6401,42.64,70,75,13.8
42,Mataura,NZ,2022-06-04 18:24:48,-46.1927,168.8643,34.48,82,97,3.51
43,Umm Lajj,SA,2022-06-04 18:26:39,25.0213,37.2685,85.48,56,54,7.02
44,Pavlohrad,UA,2022-06-04 18:26:39,48.5167,35.8667,66.94,77,98,7.61
45,Busselton,AU,2022-06-04 18:26:40,-33.65,115.3333,56.41,79,67,7.31
46,Georgetown,MY,2022-06-04 18:32:55,5.4112,100.3354,82.33,87,40,2.3
47,Balkanabat,TM,2022-06-04 18:36:39,39.5108,54.3671,86.92,17,0,4.63
48,Mnogovershinnyy,RU,2022-06-04 18:36:40,53.9353,139.9242,43.99,65,10,3.53
49,Hobyo,SO,2022-06-04 18:36:40,5.3505,48.5268,78.06,87,42,24.14
50,Chokurdakh,RU,2022-06-04 18:36:41,70.6333,147.9167,44.29,47,100,12.12
51,Coihaique,CL,2022-06-04 18:33:22,-45.5752,-72.0662,46.35,57,20,8.05
52,Manuk Mangkaw,PH,2022-06-04 18:36:42,4.8,119.85,82.76,68,57,0.92
53,Salalah,OM,2022-06-04 18:36:43,17.0151,54.0924,84.29,74,40,4.61
54,Moranbah,AU,2022-06-04 18:36:43,-22.0016,148.0466,63.12,87,6,5.97
55,Arraial Do Cabo,BR,2022-06-04 18:36:44,-22.9661,-42.0278,71.56,56,75,8.05
56,Saldanha,ZA,2022-06-04 18:36:44,-33.0117,17.9442,57.25,89,100,12.44
57,Eldorado,BR,2022-06-04 18:36:45,-23.7869,-54.2836,70.54,71,98,8.5
58,Verkhnevilyuysk,RU,2022-06-04 18:36:45,63.4453,120.3167,49.93,77,99,3.78
59,Vao,NC,2022-06-04 18:36:46,-22.6667,167.4833,72.97,70,100,9.71
60,Vaini,TO,2022-06-04 18:36:46,-21.2,-175.2,68.16,100,40,4.61
61,Inverell,AU,2022-06-04 18:36:47,-29.7833,151.1167,40.66,95,72,3.47
62,Lagoa,PT,2022-06-04 18:36:47,39.05,-27.9833,64.6,89,92,25.55
63,Ponta Delgada,PT,2022-06-04 18:36:48,37.7333,-25.6667,71.51,94,75,8.05
64,Eureka,US,2022-06-04 18:36:48,40.8021,-124.1637,65.59,92,100,6.51
65,Qaanaaq,GL,2022-06-04 18:36:49,77.484,-69.3632,28.94,76,99,4.47
66,San-Pedro,CI,2022-06-04 18:36:49,4.7485,-6.6363,77.88,86,91,6.76
67,Moses Lake,US,2022-06-04 18:36:50,47.1301,-119.2781,59.36,67,75,13.8
68,Bredasdorp,ZA,2022-06-04 18:36:50,-34.5322,20.0403,57.99,89,100,3.98
69,Kargopol,RU,2022-06-04 18:36:51,61.5071,38.9456,50.65,95,100,4.74
70,Severo-Kurilsk,RU,2022-06-04 18:36:51,50.6789,156.125,42.17,90,90,4.79
